alpha3Code,gender,population,age
FJI,Female,8615,10
FIN,Female,30567,10
FRA,Female,388817,10
GUF,Female,3095,10
PYF,Female,2074,10
GAB,Female,23205,10
GMB,Female,29972,10
GEO,Female,24468,10
DEU,Female,342992,10
GHA,Female,352920,10
GRC,Female,56279,10
GRD,Female,930,10
GLP,Female,2721,10
GUM,Female,1284,10
GTM,Female,188006,10
GIN,Female,172275,10
GNB,Female,24775,10
GUY,Female,7022,10
HTI,Female,118381,10
HND,Female,96009,10
HKG,Female,28501,10
HUN,Female,47015,10
ISL,Female,2271,10
IND,Female,11915079,10
IDN,Female,2317491,10
CIV,Female,325047,10
IRN,Female,656313,10
IRQ,Female,486139,10
IRL,Female,35301,10
ISR,Female,74124,10
ITA,Female,271978,10
JAM,Female,21594,10
JPN,Female,539752,10
JOR,Female,111499,10
KAZ,Female,168144,10
KEN,Female,666906,10
KIR,Female,1413,10
KWT,Female,28297,10
KGZ,Female,61601,10
LAO,Female,74476,10
LVA,Female,10578,10
LBN,Female,41920,10
LSO,Female,25086,10
LBR,Female,62827,10
LBY,Female,58900,10
LTU,Female,13738,10
LUX,Female,3076,10
MAC,Female,2387,10
MKD,Female,10846,10
MDG,Female,337346,10
MWI,Female,271813,10
MYS,Female,241219,10
MDV,Female,3192,10
MLI,Female,281834,10
MLT,Female,1932,10
MTQ,Female,2498,10
MRT,Female,55890,10
MUS,Female,7590,10
MYT,Female,3526,10
MEX,Female,1110492,10
FSM,Female,1085,10
MDA,Female,21424,10
MNG,Female,29093,10
MNE,Female,3778,10
MAR,Female,309719,10
MOZ,Female,425491,10
MMR,Female,472132,10
NAM,Female,29460,10
NPL,Female,301813,10
NLD,Female,89567,10
NCL,Female,1952,10
NZL,Female,31462,10
NIC,Female,58919,10
NER,Female,331028,10
NGA,Female,2613121,10
PRK,Female,166505,10
NOR,Female,31283,10
OMN,Female,31814,10
PAK,Female,2174244,10
PSE,Female,61744,10
PAN,Female,36396,10
PNG,Female,94799,10
PRY,Female,65647,10
PER,Female,284783,10
PHL,Female,1073543,10
POL,Female,198912,10
PRT,Female,47388,10
PRI,Female,21522,10
QAT,Female,12256,10
REU,Female,6630,10
ROU,Female,101454,10
RUS,Female,799509,10
RWA,Female,164533,10
LCA,Female,1056,10
VCT,Female,892,10
WSM,Female,2450,10
STP,Female,2854,10
SAU,Female,263299,10
SEN,Female,218207,10
SRB,Female,46257,10
SYC,Female,692,10
SLE,Female,104617,10
SGP,Female,28819,10
SVK,Female,28069,10
SVN,Female,10467,10
SLB,Female,7709,10
SOM,Female,214309,10
ZAF,Female,537653,10
KOR,Female,219683,10
SSD,Female,166954,10
ESP,Female,239473,10
LKA,Female,171652,10
SDN,Female,530295,10
SUR,Female,4764,10
SWZ,Female,16727,10
SWE,Female,57734,10
CHE,Female,40025,10
SYR,Female,232842,10
TJK,Female,100343,10
TZA,Female,819793,10
THA,Female,395069,10
TLS,Female,18312,10
TGO,Female,105993,10
TON,Female,1283,10
TTO,Female,9585,10
TUN,Female,85920,10
TUR,Female,659971,10
TKM,Female,53347,10
UGA,Female,648560,10
UKR,Female,237603,10
ARE,Female,44835,10
GBR,Female,393041,10
USA,Female,2045024,10
URY,Female,23722,10
UZB,Female,294955,10
VUT,Female,3257,10
VEN,Female,288538,10
VNM,Female,700634,10
ESH,Female,4983,10
YEM,Female,360399,10
ZMB,Female,243393,10
ZWE,Female,221985,10
AFG,Female,26,100
ALB,Female,73,100
DZA,Female,433,100
AGO,Female,39,100
ATG,Female,5,100
ARG,Female,6780,100
ARM,Female,327,100
ABW,Female,4,100
AUS,Female,3827,100
AUT,Female,996,100
AZE,Female,102,100
BHS,Female,23,100
BHR,Female,5,100
BGD,Female,7201,100
BRB,Female,15,100
BLR,Female,373,100
BEL,Female,1495,100
BLZ,Female,1,100
BEN,Female,32,100
BTN,Female,34,100
BOL,Female,534,100
BIH,Female,192,100
BWA,Female,5,100
BRA,Female,16228,100
VIR,Female,8,100
BRN,Female,3,100
BGR,Female,156,100
BFA,Female,1,100
BDI,Female,21,100
KHM,Female,29,100
CMR,Female,59,100
CAN,Female,7722,100
CPV,Female,3,100
CAF,Female,13,100
TCD,Female,20,100
CHL,Female,4752,100
CHN,Female,54454,100
COL,Female,2521,100
COM,Female,1,100
COG,Female,17,100
COD,Female,132,100
CRI,Female,401,100
HRV,Female,403,100
CUB,Female,3031,100
CYP,Female,77,100
CZE,Female,377,100
DNK,Female,1119,100
DJI,Female,3,100
DOM,Female,2143,100
ECU,Female,751,100
EGY,Female,762,100
SLV,Female,236,100
GNQ,Female,3,100
ERI,Female,24,100
EST,Female,134,100
ETH,Female,246,100
FJI,Female,7,100
FIN,Female,832,100
FRA,Female,14511,100
GUF,Female,10,100
PYF,Female,7,100
GAB,Female,14,100
GMB,Female,0,100
GEO,Female,112,100
DEU,Female,10736,100
GHA,Female,12,100
GRC,Female,1613,100
GRD,Female,5,100
GLP,Female,216,100
GUM,Female,8,100
GTM,Female,200,100
GIN,Female,2,100
GNB,Female,0,100
GUY,Female,2,100
HTI,Female,197,100
HND,Female,310,100
HKG,Female,2667,100
HUN,Female,577,100
ISL,Female,39,100
IND,Female,23582,100
IDN,Female,567,100
CIV,Female,7,100
IRN,Female,350,100
IRQ,Female,125,100
IRL,Female,474,100
ISR,Female,742,100
ITA,Female,13747,100
JAM,Female,421,100
JPN,Female,68273,100
JOR,Female,23,100
KAZ,Female,194,100
KEN,Female,133,100
KIR,Female,0,100
KWT,Female,0,100
KGZ,Female,25,100
LAO,Female,14,100
LVA,Female,128,100
LBN,Female,127,100
LSO,Female,8,100
LBR,Female,1,100
LBY,Female,22,100
LTU,Female,201,100
LUX,Female,54,100
MAC,Female,60,100
MKD,Female,12,100
MDG,Female,60,100
MWI,Female,11,100
MYS,Female,111,100
MDV,Female,4,100
MLI,Female,4,100
MLT,Female,24,100
MTQ,Female,178,100
MRT,Female,2,100
MUS,Female,90,100
MYT,Female,15,100
MEX,Female,9663,100
FSM,Female,1,100
MDA,Female,66,100
MNG,Female,17,100
MNE,Female,13,100
MAR,Female,9,100
MOZ,Female,58,100
MMR,Female,190,100
NAM,Female,6,100
NPL,Female,69,100
NLD,Female,2343,100
NCL,Female,6,100
NZL,Female,531,100
NIC,Female,564,100
NER,Female,3,100
NGA,Female,18,100
PRK,Female,222,100
NOR,Female,891,100
OMN,Female,166,100
PAK,Female,295,100
PSE,Female,8,100
PAN,Female,438,100
PNG,Female,106,100
PRY,Female,247,100
PER,Female,1933,100
PHL,Female,275,100
POL,Female,2461,100
PRT,Female,1716,100
PRI,Female,1450,100
QAT,Female,14,100
REU,Female,185,100
